town,price,year
seaside park,1025000.0,2019.0
seaside park,635000.0,2018.0
seaside park,1425000.0,2019.0
seaside park,675000.0,2019.0
seaside park,975000.0,2019.0
seaside park,569000.0,2019.0
seaside park,2275000.0,2019.0
seaside park,510000.0,2019.0
seaside park,1350000.0,2019.0
seaside park,870000.0,2018.0
seaside park,810000.0,2018.0
seaside park,1585000.0,2019.0
seaside park,490000.0,2023.0
seaside park,564000.0,2019.0
seaside park,1300000.0,2019.0
seaside park,780000.0,2019.0
seaside park,821000.0,2019.0
seaside park,710000.0,2019.0
seaside park,770000.0,2019.0
seaside park,627000.0,2019.0
seaside park,700000.0,2018.0
seaside park,627500.0,2019.0
seaside park,1125000.0,2019.0
seaside park,1170000.0,2019.0
seaside park,650000.0,2019.0
seaside park,544833.0,2019.0
seaside park,555000.0,2020.0
seaside park,733000.0,2019.0
seaside park,949000.0,2020.0
seaside park,755000.0,2019.0
seaside park,760000.0,2019.0
seaside park,1280000.0,nan
seaside park,530000.0,2019.0
seaside park,1580000.0,2019.0
seaside park,604500.0,2019.0
seaside park,689000.0,2019.0
seaside park,835000.0,2019.0
seaside park,655000.0,2013.0
seaside park,1200000.0,2013.0
seaside park,925000.0,2014.0
seaside park,650000.0,2013.0
seaside park,580000.0,2013.0
seaside park,1300000.0,2013.0
seaside park,870000.0,2013.0
seaside park,555000.0,2013.0
seaside park,710000.0,2014.0
seaside park,694500.0,nan
seaside park,842500.0,2013.0
seaside park,555000.0,2014.0
seaside park,975000.0,2014.0
seaside park,525000.0,2013.0
seaside park,685000.0,2014.0
seaside park,745000.0,2014.0
seaside park,507500.0,2014.0
seaside park,920000.0,nan
seaside park,730000.0,2018.0
seaside park,508000.0,2014.0
seaside park,1900000.0,2014.0
seaside park,560000.0,2014.0
seaside park,775000.0,2014.0
seaside park,533000.0,2014.0
seaside park,1250000.0,2014.0
seaside park,513000.0,2014.0
seaside park,1172500.0,2014.0
seaside park,725000.0,2014.0
seaside park,1200000.0,2014.0
seaside park,475000.0,2014.0
seaside park,650000.0,2015.0
seaside park,510000.0,2014.0
seaside park,700000.0,2015.0
seaside park,2500000.0,2019.0
seaside park,700000.0,2014.0
seaside park,825000.0,2015.0
seaside park,980000.0,2014.0
seaside park,1150000.0,2015.0
seaside park,600000.0,2015.0
seaside park,655000.0,2014.0
seaside park,825000.0,2015.0
seaside park,540000.0,2015.0
seaside park,600000.0,2015.0
seaside park,738000.0,nan
seaside park,486000.0,2015.0
seaside park,1050000.0,2015.0
seaside park,675000.0,2015.0
seaside park,540000.0,2015.0
seaside park,950000.0,2015.0
seaside park,980000.0,2015.0
seaside park,510000.0,2015.0
seaside park,950000.0,2015.0
seaside park,588500.0,2015.0
seaside park,740000.0,2015.0
seaside park,480000.0,2015.0
seaside park,850000.0,2015.0
seaside park,550000.0,2015.0
seaside park,847000.0,2015.0
seaside park,520000.0,2015.0
seaside park,1190000.0,2015.0
seaside park,909500.0,nan
seaside park,575000.0,2016.0
seaside park,619000.0,2015.0
seaside park,500000.0,2016.0
seaside park,620000.0,2016.0
seaside park,575111.0,2016.0
seaside park,600000.0,2016.0
seaside park,515000.0,2016.0
seaside park,690000.0,2019.0
seaside park,600000.0,2020.0
seaside park,1500000.0,2016.0
seaside park,830000.0,2016.0
seaside park,900000.0,2016.0
seaside park,575000.0,2016.0
seaside park,1490000.0,2016.0
seaside park,829000.0,2019.0
seaside park,575000.0,2016.0
seaside park,483375.0,2016.0
seaside park,626000.0,2016.0
seaside park,742000.0,2019.0
seaside park,580000.0,2016.0
seaside park,999999.0,2016.0
seaside park,475000.0,2016.0
seaside park,1585000.0,2017.0
